Crop,ID,Trade_Name,Type,Target_Disease,Dosage,Safety_Class
Wheat,PES_050,Comet,Fungicide,Rust,0.5 L/Ha,Class III
Rice,PES_051,Beam,Fungicide,Rice Blast,0.3 kg/Ha,Class III
Rice,PES_052,Fujione,Fungicide,Rice Blast,1.0 L/Ha,Class III
Rice,PES_053,Tilt,Fungicide,Sheath Blight,0.5 L/Ha,Class III
Rice,PES_054,Validacin,Fungicide,Sheath Blight,2.0 L/Ha,Class U
Rice,PES_055,Amistar Top,Fungicide,"Sheath Blight, Blast",0.75 L/Ha,Class II
Rice,PES_056,Hinosan,Fungicide,Blast,1.0 L/Ha,Class II
Rice,PES_057,Moncut,Fungicide,Sheath Blight,0.5 kg/Ha,Class III
Rice,PES_058,Score 250 EC,Fungicide,Sheath Rot,0.5 L/Ha,Class III
Rice,PES_059,Folicur,Fungicide,False Smut,0.75 L/Ha,Class III
Rice,PES_060,Kocide,Bactericide,Bacterial Leaf Blight,2.0 kg/Ha,Class III
Beans,PES_061,Daconil,Fungicide,Anthracnose,2.0 L/Ha,Class II
Beans,PES_062,Folicur,Fungicide,Rust,0.5 L/Ha,Class III
Beans,PES_063,Amistar,Fungicide,Angular Leaf Spot,0.8 L/Ha,Class U
Beans,PES_064,Ridomil Gold,Fungicide,Root Rot,2.5 kg/Ha,Class III
Beans,PES_065,Score,Fungicide,Rust,0.5 L/Ha,Class III
Beans,PES_066,Copper Nordox,Bactericide,Halo Blight,2.0 kg/Ha,Class III
Beans,PES_067,Rovral,Fungicide,Botrytis Rot,1.0 L/Ha,Class III
Beans,PES_068,Tecto,Fungicide,White Mold,0.5 L/Ha,Class III
Beans,PES_069,Signum,Fungicide,Chocolate Spot,1.0 kg/Ha,Class III
Beans,PES_070,Switch,Fungicide,Gray Mold,0.8 kg/Ha,Class U
Onions,PES_071,Ridomil Gold,Fungicide,Downy Mildew,2.5 kg/Ha,Class III
Onions,PES_072,Ortiva,Fungicide,Purple Blotch,0.8 L/Ha,Class U
Onions,PES_073,Dithane M-45,Fungicide,Leaf Blight,2.0 kg/Ha,Class U
Onions,PES_074,Folicur,Fungicide,Purple Blotch,0.75 L/Ha,Class III
Onions,PES_075,Cabrio,Fungicide,Downy Mildew,1.0 L/Ha,Class III
Onions,PES_076,Rovral,Fungicide,Neck Rot,1.5 L/Ha,Class III
Onions,PES_077,Luna Experience,Fungicide,Stemphylium Leaf Blight,0.75 L/Ha,Class III
Onions,PES_078,Score,Fungicide,Purple Blotch,0.5 L/Ha,Class III
Onions,PES_079,Switch,Fungicide,Botrytis Leaf Blight,1.0 kg/Ha,Class U
Onions,PES_080,Bravo,Fungicide,Botrytis,2.0 L/Ha,Class II
Carrots,PES_081,Bravo,Fungicide,Alternaria Leaf Blight,2.0 L/Ha,Class II
Carrots,PES_082,Merivon,Fungicide,Powdery Mildew,0.5 L/Ha,Class III
Carrots,PES_083,Amistar Top,Fungicide,Leaf Blight,0.75 L/Ha,Class II
Carrots,PES_084,Signum,Fungicide,Sclerotinia Rot,1.0 kg/Ha,Class III
Carrots,PES_085,Switch,Fungicide,White Mold,0.8 kg/Ha,Class U
Carrots,PES_086,Rovral,Fungicide,Black Rot,1.5 L/Ha,Class III
Carrots,PES_087,Folicur,Fungicide,Leaf Spot,0.75 L/Ha,Class III
Carrots,PES_088,Daconil,Fungicide,Early Blight,2.0 L/Ha,Class II
Carrots,PES_089,Score,Fungicide,Powdery Mildew,0.5 L/Ha,Class III
Carrots,PES_090,Luna Privilege,Fungicide,Powdery Mildew,0.5 L/Ha,Class III
Soybeans,PES_091,Aproach Prima,Fungicide,Soybean Rust,0.8 L/Ha,Class II
Soybeans,PES_092,Topguard,Fungicide,Frogeye Leaf Spot,0.7 L/Ha,Class III
Soybeans,PES_093,Amistar Xtra,Fungicide,Rust,0.5 L/Ha,Class II
Soybeans,PES_094,Priaxor,Fungicide,Septoria Brown Spot,0.5 L/Ha,Class II
Soybeans,PES_095,Headline,Fungicide,Plant Health/Rust,0.6 L/Ha,Class II
Soybeans,PES_096,Quadris,Fungicide,Aerial Blight,0.8 L/Ha,Class U
Soybeans,PES_097,Domark,Fungicide,Rust,0.4 L/Ha,Class III
Soybeans,PES_098,Tilt,Fungicide,Cercospora Leaf Blight,0.5 L/Ha,Class III
Soybeans,PES_099,Alto,Fungicide,Rust,0.4 L/Ha,Class III
Soybeans,PES_100,Fortix,Fungicide,"Rust, Leaf Spot",1.0 L/Ha,Class II
