crop,disease,image_location,description,treatment
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/32.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/33.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/34.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/35.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/36.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/37.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/38.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/39.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/40.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/41.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/42.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/43.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/44.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/45.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/46.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/47.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/48.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/49.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/50.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/51.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/52.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/53.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/54.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/55.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/56.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/57.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/58.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/59.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/60.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/61.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/62.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/63.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/64.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/65.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/66.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/67.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/68.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/69.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/70.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/71.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/72.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/73.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/74.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/75.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/76.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/77.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/78.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/79.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/80.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/81.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/82.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/83.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/84.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/85.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/86.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/87.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/88.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/89.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/90.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/91.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/92.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/93.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/94.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/95.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/96.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/97.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/98.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/99.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/100.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/101.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/102.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/103.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/104.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/105.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/106.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/107.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/108.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/109.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/110.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/111.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/112.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/113.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/114.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/115.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/116.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/117.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/118.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/119.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/120.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/121.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/122.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/123.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/124.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/125.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/126.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/127.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/128.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/129.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/130.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/131.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/132.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/133.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/134.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/135.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/136.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/137.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/138.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/139.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/140.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/141.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/142.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/143.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/144.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/145.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/146.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/147.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/148.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/149.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/150.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/151.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/152.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/153.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/154.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/155.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/156.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/157.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/158.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/159.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/160.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/161.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/162.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/163.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/164.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/165.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/166.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/167.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/168.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/169.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/170.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/171.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/172.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/173.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/174.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/175.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/176.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/177.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/178.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/179.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/180.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/181.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/182.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/183.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/184.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/185.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/186.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/187.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/188.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/189.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/190.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/191.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/192.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/193.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/194.jpg,White powdery fungal growth on leaves,Fungicides
